# porosity	k_micron2
0.902285 27.622698
0.892200 24.290752
0.905628 34.226629
0.907054 32.606415
0.885367 25.417019
0.890234 22.549417
0.900959 26.802342
0.897628 27.443742
0.899874 27.682259
0.893602 26.571423
0.906595 29.724271
0.905833 34.731183
0.900495 26.286357
0.908454 32.035153
0.903506 29.849605
0.893555 25.257803
0.902766 26.200849
0.892808 26.409452
0.906588 30.754561
0.899626 29.455751
0.898614 26.298469
0.894893 24.885971
0.909169 35.095638
0.898841 25.213211
0.896788 26.351204
0.897359 24.883087
0.903992 32.933146
0.902741 26.742413
0.903095 25.116521
0.903231 32.280229
0.916062 44.612770
0.896952 24.032544
0.896158 24.556403
0.893897 28.038107
0.904620 25.214966
0.908467 29.739230
0.899145 27.172291
0.893699 24.005389
0.893816 22.462868
0.904879 36.780103
0.905574 31.658149
0.904074 27.582883
0.895009 24.002137
0.901741 30.998949
0.900875 27.065540
0.901640 25.934395
0.906536 31.952809
0.901677 28.437799
0.905092 29.060138
0.900507 28.838947
