L_span_mm,delta_mm,specimen_id,F_exp_N
40.0,3.0,1,1.11890452453671
40.0,3.0,2,0.852576809597488
40.0,3.0,3,0.855912741105835
40.0,3.0,4,0.8946861179501
40.0,3.0,5,0.885443944608089
40.0,3.0,6,0.913990777177309
40.0,4.0,1,1.3961697204385
40.0,4.0,2,1.10052955196495
40.0,4.0,3,1.11726390097581
40.0,4.0,4,1.1728810023597
40.0,4.0,5,1.14531854562685
40.0,4.0,6,1.16303726753207
40.0,5.0,1,1.65921618912762
40.0,5.0,2,1.24769338548071
40.0,5.0,3,1.30232611397024
40.0,5.0,4,1.34416198698771
40.0,5.0,5,1.35351353487784
40.0,5.0,6,1.36532601745553
60.0,3.0,1,0.37356973749347
60.0,3.0,2,0.293124547329133
60.0,3.0,3,0.300233913223685
60.0,3.0,4,0.3007261001612
60.0,3.0,5,0.29235892320411
60.0,3.0,6,0.30614015353187
60.0,4.0,1,0.452264926170944
60.0,4.0,2,0.357108825234272
60.0,4.0,3,0.376249421822088
60.0,4.0,4,0.383905657297294
60.0,4.0,5,0.381444725551715
60.0,4.0,6,0.399655634394449
60.0,5.0,1,0.589530338729111
60.0,5.0,2,0.466483654473238
60.0,5.0,3,0.448983682100099
60.0,5.0,4,0.461014911812699
60.0,5.0,5,0.474139892454588
60.0,5.0,6,0.460686787187689
