<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	10:52:19.661
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	17.134000	0.000000
0.010000	17.134000	0.501891
0.020000	17.134000	0.000000
0.030000	17.134000	0.000000
0.040000	17.134000	0.000000
0.050000	17.134000	0.000000
0.060000	17.134000	0.000000
0.070000	17.134000	0.000000
0.080000	17.134000	0.000000
0.090000	17.134000	0.000000
0.100000	17.134000	0.000000
0.110000	17.134000	0.000000
0.120000	17.134000	0.000000
0.130000	17.134000	0.000000
0.140000	17.134000	0.000000
0.150000	17.134000	0.000000
0.160000	17.134000	0.000000
0.170000	17.134000	0.000000
0.180000	17.134000	0.000000
0.190000	17.134000	0.000000
0.200000	17.134000	0.000000
0.210000	17.134000	0.000000
0.220000	17.134000	0.000000
0.230000	17.134000	0.000000
0.240000	17.134000	0.000000
0.250000	17.134000	0.000000
0.260000	17.134000	0.000000
0.270000	17.134000	0.000000
0.280000	17.134082	0.000000
0.290000	17.134374	0.000000
0.300000	17.135097	0.000000
0.310000	17.136953	0.000000
0.320000	17.139764	0.000000
0.330000	17.142553	0.000000
0.340000	17.144998	0.000000
0.350000	17.147268	0.000000
0.360000	17.149484	0.000000
0.370000	17.151737	0.000000
0.380000	17.154011	0.000000
0.390000	17.156256	0.000000
0.400000	17.158416	0.000000
0.410000	17.160485	0.000000
0.420000	17.162471	0.000000
0.430000	17.164407	0.000000
0.440000	17.166363	0.000000
0.450000	17.168396	0.000000
0.460000	17.170435	0.000000
0.470000	17.172413	0.000000
0.480000	17.174409	0.000000
0.490000	17.176434	0.000000
0.500000	17.178466	0.000000
0.510000	17.180452	0.501891
0.520000	17.182460	0.501891
0.530000	17.184482	0.501891
0.540000	17.186478	0.501891
0.550000	17.188460	0.501891
0.560000	17.190484	0.501891
0.570000	17.192493	0.501891
0.580000	17.194506	0.501891
0.590000	17.196557	0.501891
0.600000	17.198559	0.501891
0.610000	17.200521	0.501891
0.620000	17.202483	0.501891
0.630000	17.204477	0.501891
0.640000	17.206466	0.501891
0.650000	17.208441	0.501891
0.660000	17.210432	0.501891
0.670000	17.212437	0.501891
0.680000	17.214498	0.501891
0.690000	17.216492	0.501891
0.700000	17.218401	0.501891
0.710000	17.220316	0.501891
0.720000	17.222280	0.501891
0.730000	17.224287	0.501891
0.740000	17.226363	0.501891
0.750000	17.228462	0.501891
0.760000	17.230515	0.501891
0.770000	17.232539	1.003782
0.780000	17.234518	1.003782
0.790000	17.236511	1.003782
0.800000	17.238532	1.003782
0.810000	17.240691	1.003782
0.820000	17.242975	1.003782
0.830000	17.244979	1.003782
0.840000	17.246049	0.501891
0.850000	17.246230	0.501891
0.860000	17.246209	0.501891
0.870000	17.246342	0.501891
0.880000	17.246479	0.501891
0.890000	17.246527	0.501891
0.900000	17.246517	0.501891
0.910000	17.246500	1.003782
0.920000	17.246495	0.501891
0.930000	17.246497	0.501891
0.940000	17.246500	0.501891
0.950000	17.246501	0.501891
0.960000	17.246500	0.501891
0.970000	17.246500	0.501891
0.980000	17.246500	0.501891
0.990000	17.246492	1.003782
1.000000	17.246327	1.003782
1.010000	17.246090	1.003782
1.020000	17.245971	1.003782
1.030000	17.245966	0.501891
1.040000	17.245993	0.501891
1.050000	17.246007	0.501891
1.060000	17.246005	1.003782
1.070000	17.246001	1.003782
1.080000	17.245999	0.501891
1.090000	17.245999	1.003782
1.100000	17.246000	1.003782
1.110000	17.246000	1.003782
1.120000	17.246000	0.501891
1.130000	17.246000	0.501891
1.140000	17.246000	0.501891
1.150000	17.246000	0.501891
1.160000	17.246000	0.501891
1.170000	17.246000	0.501891
1.180000	17.246000	0.501891
1.190000	17.246000	0.501891
1.200000	17.246000	1.003782
1.210000	17.245998	1.003782
1.220000	17.245867	0.501891
1.230000	17.245625	0.501891
1.240000	17.245481	0.501891
1.250000	17.245462	0.501891
1.260000	17.245489	0.501891
1.270000	17.245506	0.501891
1.280000	17.245506	0.501891
1.290000	17.245502	0.501891
1.300000	17.245499	0.501891
1.310000	17.245499	0.501891
1.320000	17.245500	0.501891
1.330000	17.245500	0.501891
1.340000	17.245500	0.501891
1.350000	17.245500	0.501891
1.360000	17.245500	1.003782
1.370000	17.245500	1.003782
1.380000	17.245500	0.501891
1.390000	17.245500	0.501891
<END DATA>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	10:52:21.061
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Sinusoid>
Stage Axis:	Position (z)
Amplitude, mm:	5.0000
Frequency, Hz:	1.00000
Number of Cycles:	5
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	17.245500	0.501891
0.010000	17.245500	0.501891
0.020000	17.245500	0.501891
0.030000	17.245500	0.501891
0.040000	17.245500	0.501891
0.050000	17.245500	0.501891
0.060000	17.245500	0.501891
0.070000	17.245500	0.501891
0.080000	17.245500	0.501891
0.090000	17.245500	0.501891
0.100000	17.245500	0.501891
0.110000	17.245500	1.003782
0.120000	17.245500	0.501891
0.130000	17.245500	1.003782
0.140000	17.245500	1.003782
0.150000	17.245500	0.501891
0.160000	17.245500	0.501891
0.170000	17.245500	0.501891
0.180000	17.245500	0.501891
0.190000	17.245500	0.501891
0.200000	17.246000	1.003782
0.210000	17.246000	1.003782
0.220000	17.246000	0.501891
0.230000	17.246000	0.501891
0.240000	17.246000	0.501891
0.250000	17.246000	0.501891
0.260000	17.246000	0.501891
0.270000	17.246000	0.501891
0.280000	17.246000	0.501891
0.290000	17.246000	0.501891
0.300000	17.246000	0.501891
0.310000	17.246000	0.501891
0.320000	17.246000	0.501891
0.330000	17.246000	0.501891
0.340000	17.246000	0.501891
0.350000	17.246000	0.501891
0.360000	17.246000	1.003782
0.370000	17.246000	0.501891
0.380000	17.246000	0.501891
0.390000	17.246000	0.501891
0.400000	17.246000	0.501891
0.410000	17.246000	0.501891
0.420000	17.246000	0.501891
0.430000	17.246000	0.501891
0.440000	17.246000	0.501891
0.450000	17.246000	0.501891
0.460000	17.246000	0.501891
0.470000	17.246000	0.501891
0.480000	17.246000	0.501891
0.490000	17.246000	0.501891
0.500000	17.246000	0.501891
0.510000	17.246000	0.501891
0.520000	17.246000	0.501891
