<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	10:47:01.361
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Sinusoid>
Stage Axis:	Position (z)
Amplitude, mm:	5.0000
Frequency, Hz:	1.00000
Number of Cycles:	5
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.481000	0.501891
0.010000	16.481000	0.501891
0.020000	16.481000	0.501891
0.030000	16.481000	0.501891
0.040000	16.481000	0.501891
0.050000	16.481000	0.501891
0.060000	16.481000	0.501891
0.070000	16.481000	0.501891
0.080000	16.481000	0.501891
0.090000	16.481000	0.501891
0.100000	16.481000	0.501891
0.110000	16.481000	0.501891
0.120000	16.481000	0.501891
0.130000	16.481000	0.501891
0.140000	16.481000	0.501891
0.150000	16.481000	0.501891
0.160000	16.481000	0.501891
0.170000	16.481000	0.501891
0.180000	16.481000	0.501891
0.190000	16.481000	0.501891
0.200000	16.481000	0.501891
0.210000	16.481000	0.501891
0.220000	16.481000	0.501891
0.230000	16.481000	0.501891
0.240000	16.481000	0.501891
0.250000	16.481000	0.501891
0.260000	16.481000	0.501891
0.270000	16.481000	0.501891
0.280000	16.481000	0.501891
0.290000	16.481000	0.501891
0.300000	16.481000	0.501891
0.310000	16.481000	0.501891
0.320000	16.481000	0.501891
0.330000	16.481000	0.501891
0.340000	16.481000	0.501891
0.350000	16.481000	0.501891
0.360000	16.481000	0.501891
0.370000	16.481000	0.501891
0.380000	16.481000	0.501891
0.390000	16.481000	0.501891
0.400000	16.481000	0.501891
0.410000	16.481000	0.501891
0.420000	16.481000	0.501891
0.430000	16.481000	0.501891
0.440000	16.481000	0.501891
0.450000	16.481000	0.501891
0.460000	16.481000	0.501891
0.470000	16.481000	0.501891
0.480000	16.481000	0.501891
0.490000	16.481000	0.501891
0.500000	16.481000	0.501891
0.510000	16.481000	0.501891
0.520000	16.481000	0.501891
0.530000	16.481000	0.501891
0.540000	16.481000	0.501891
0.550000	16.481000	0.501891
0.560000	16.481000	0.501891
0.570000	16.481000	0.501891
0.580000	16.481000	1.003782
0.590000	16.481000	0.501891
0.600000	16.481000	0.501891
0.610000	16.481000	0.501891
0.620000	16.481000	0.501891
0.630000	16.481000	0.501891
0.640000	16.481000	0.501891
0.650000	16.481000	0.501891
0.660000	16.481000	0.501891
0.670000	16.481000	0.501891
0.680000	16.481000	0.501891
0.690000	16.481000	0.501891
0.700000	16.481000	0.501891
0.710000	16.481000	0.501891
0.720000	16.481000	0.501891
0.730000	16.481000	0.501891
0.740000	16.481000	1.003782
0.750000	16.481000	0.501891
0.760000	16.481000	0.501891
0.770000	16.481000	0.501891
0.780000	16.481000	0.501891
0.790000	16.481000	0.501891
0.800000	16.481000	0.501891
0.810000	16.481000	0.501891
0.820000	16.481000	0.501891
0.830000	16.481000	0.501891
0.840000	16.481000	0.501891
0.850000	16.481000	0.501891
0.860000	16.481000	0.501891
0.870000	16.481000	0.501891
0.880000	16.481000	0.501891
0.890000	16.481000	0.501891
0.900000	16.481000	0.501891
0.910000	16.481000	0.501891
0.920000	16.481000	0.501891
0.930000	16.481000	0.501891
0.940000	16.481000	0.501891
0.950000	16.481000	0.501891
0.960000	16.481000	0.501891
0.970000	16.481000	0.501891
0.980000	16.481000	0.501891
0.990000	16.481000	0.501891
1.000000	16.481000	0.501891
1.010000	16.481000	0.501891
1.020000	16.481000	0.501891
1.030000	16.481000	0.501891
1.040000	16.481000	0.501891
1.050000	16.481000	0.501891
1.060000	16.481000	0.501891
1.070000	16.481000	0.501891
1.080000	16.481000	0.501891
1.090000	16.481000	0.501891
1.100000	16.481000	0.501891
1.110000	16.481000	0.501891
1.120000	16.481000	0.501891
1.130000	16.481000	0.501891
1.140000	16.481000	0.501891
1.150000	16.481000	0.501891
1.160000	16.481000	0.501891
1.170000	16.481000	0.501891
1.180000	16.481000	0.501891
1.190000	16.481000	0.501891
1.200000	16.481000	0.501891
1.210000	16.481000	0.501891
1.220000	16.481000	0.501891
1.230000	16.481019	0.501891
1.240000	16.482229	1.003782
1.250000	16.490919	1.003782
1.260000	16.513436	1.003782
1.270000	16.553716	1.505672
1.280000	16.615592	1.505672
1.290000	16.703053	1.505672
1.300000	16.820786	2.509454
1.310000	16.972679	4.517017
1.320000	17.159306	6.524580
1.330000	17.377227	9.535925
1.340000	17.621188	12.045379
1.350000	17.886275	15.558615
1.360000	18.167748	18.569960
1.370000	18.461198	21.581304
1.380000	18.762077	25.094540
1.390000	19.066108	28.105885
1.400000	19.368852	31.117230
1.410000	19.665917	34.128574
1.420000	19.953029	37.139919
1.430000	20.225560	39.649373
1.440000	20.478882	41.656936
1.450000	20.708385	43.664499
1.460000	20.909632	45.170172
1.470000	21.078071	46.675844
1.480000	21.211390	47.679626
1.490000	21.311299	48.181517
1.500000	21.382557	48.683407
1.510000	21.430490	49.185298
1.520000	21.459921	49.185298
1.530000	21.475288	49.185298
1.540000	21.481149	48.683407
1.550000	21.482091	48.683407
1.560000	21.481607	48.683407
1.570000	21.481303	48.181517
1.580000	21.481349	48.181517
1.590000	21.481475	47.679626
1.600000	21.481261	47.177735
1.610000	21.477359	46.675844
1.620000	21.462796	46.173953
1.630000	21.432248	45.170172
1.640000	21.382133	44.166390
1.650000	21.308918	42.660718
1.660000	21.207842	41.155046
1.670000	21.074278	39.147482
1.680000	20.905791	37.139919
1.690000	20.703931	34.630465
1.700000	20.473131	32.121011
1.710000	20.218667	29.109666
1.720000	19.945348	26.098322
1.730000	19.657856	23.086977
1.740000	19.360523	20.075632
1.750000	19.057554	16.562396
1.760000	18.753233	13.049161
1.770000	18.449465	10.037816
1.780000	18.146037	7.026471
1.790000	17.842575	4.015126
1.800000	17.539252	1.505672
1.810000	17.235787	0.501891
1.820000	16.931993	0.501891
1.830000	16.628477	0.501891
1.840000	16.325209	0.501891
1.850000	16.021610	0.501891
1.860000	15.718118	0.501891
1.870000	15.414777	0.501891
1.880000	15.111171	0.501891
1.890000	14.807540	0.501891
1.900000	14.504053	0.501891
1.910000	14.200678	0.501891
1.920000	13.897278	0.501891
1.930000	13.595398	0.501891
1.940000	13.298421	1.003782
1.950000	13.011028	1.003782
1.960000	12.738349	1.003782
1.970000	12.484951	1.505672
1.980000	12.255365	1.505672
1.990000	12.053915	2.007563
2.000000	11.885187	2.007563
2.010000	11.751681	1.505672
2.020000	11.651395	1.505672
2.030000	11.579761	1.505672
2.040000	11.531669	1.505672
2.050000	11.502098	1.003782
2.060000	11.486499	1.003782
2.070000	11.480412	1.003782
2.080000	11.479323	0.501891
2.090000	11.479586	0.501891
2.100000	11.479737	0.501891
2.110000	11.480302	0.501891
2.120000	11.485956	1.003782
2.130000	11.504011	1.003782
2.140000	11.539334	1.003782
2.150000	11.595241	1.505672
2.160000	11.675606	1.505672
2.170000	11.784809	2.007563
2.180000	11.927380	2.007563
2.190000	12.104879	2.007563
2.200000	12.314945	1.505672
2.210000	12.552539	1.505672
2.220000	12.812450	1.003782
2.230000	13.089978	1.003782
2.240000	13.380543	1.003782
2.250000	13.679684	0.501891
2.260000	13.983193	0.501891
2.270000	14.287484	0.501891
2.280000	14.591176	0.501891
2.290000	14.894646	0.501891
2.300000	15.198227	0.501891
2.310000	15.501739	0.501891
2.320000	15.805157	0.501891
2.330000	16.108740	1.003782
2.340000	16.412370	0.501891
2.350000	16.715771	0.501891
2.360000	17.019232	2.509454
2.370000	17.322761	6.022690
2.380000	17.626109	10.037816
2.390000	17.929494	14.052942
2.400000	18.233111	17.566178
2.410000	18.536698	21.079414
2.420000	18.840151	24.592649
2.430000	19.143389	27.603994
2.440000	19.444397	30.615339
2.450000	19.739223	33.626684
2.460000	20.023150	36.136138
2.470000	20.291359	38.645592
2.480000	20.539076	41.155046
2.490000	20.761840	43.162609
2.500000	20.955178	44.668281
2.510000	21.114764	45.672063
2.520000	21.239258	46.675844
2.530000	21.331491	47.679626
2.540000	21.396435	47.679626
2.550000	21.439307	48.181517
2.560000	21.464879	48.181517
2.570000	21.477478	48.181517
2.580000	21.481644	47.679626
2.590000	21.481958	47.679626
2.600000	21.481470	47.177735
2.610000	21.481293	47.177735
2.620000	21.481389	46.675844
2.630000	21.481493	46.675844
2.640000	21.480964	46.173953
2.650000	21.475692	45.672063
2.660000	21.458822	45.170172
2.670000	21.425406	44.668281
2.680000	21.371951	43.162609
2.690000	21.294626	41.656936
2.700000	21.188616	40.151264
2.710000	21.049448	38.143701
2.720000	20.875360	36.136138
2.730000	20.668532	33.626684
2.740000	20.433655	31.117230
2.750000	20.175864	28.105885
2.760000	19.899976	25.094540
2.770000	19.610622	22.083195
