<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:20:37.429
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.282000	0.000000
0.010000	16.282000	0.000000
0.020000	16.282000	0.000000
0.030000	16.282000	0.000000
0.040000	16.282000	0.000000
0.050000	16.282000	0.000000
0.060000	16.282000	0.000000
0.070000	16.282000	0.000000
0.080000	16.282000	0.000000
0.090000	16.282000	0.000000
0.100000	16.282000	0.000000
0.110000	16.282000	0.000000
0.120000	16.282000	0.000000
0.130000	16.282000	0.000000
0.140000	16.282000	0.000000
0.150000	16.282000	0.000000
0.160000	16.282000	0.000000
0.170000	16.282000	0.000000
0.180000	16.282000	0.000000
0.190000	16.282000	0.000000
0.200000	16.282000	0.000000
0.210000	16.282000	0.000000
0.220000	16.282000	0.000000
0.230000	16.282000	0.000000
0.240000	16.282000	0.000000
0.250000	16.282000	0.000000
0.260000	16.282000	0.000000
0.270000	16.282021	0.000000
0.280000	16.282209	0.000000
0.290000	16.282509	0.000000
0.300000	16.283448	0.000000
0.310000	16.285550	0.000000
0.320000	16.288232	0.000000
0.330000	16.290892	0.000000
0.340000	16.293297	0.000000
0.350000	16.295472	0.000000
0.360000	16.297648	0.000000
0.370000	16.299824	0.000000
0.380000	16.301917	0.000000
0.390000	16.303982	0.000000
0.400000	16.306120	0.000000
0.410000	16.308273	0.000000
0.420000	16.310349	0.000000
0.430000	16.312369	0.000000
0.440000	16.314367	0.000000
0.450000	16.316357	0.000000
0.460000	16.318341	0.000000
0.470000	16.320370	0.000000
0.480000	16.322408	0.000000
0.490000	16.324442	0.000000
0.500000	16.326500	0.000000
0.510000	16.328485	-0.501891
0.520000	16.330437	0.000000
0.530000	16.332435	0.000000
0.540000	16.334424	0.000000
0.550000	16.336411	-0.501891
0.560000	16.338424	0.000000
0.570000	16.340431	0.000000
0.580000	16.342413	0.000000
0.590000	16.344437	0.000000
0.600000	16.346461	0.000000
0.610000	16.348429	0.000000
0.620000	16.350443	0.000000
0.630000	16.352496	0.000000
0.640000	16.354496	0.000000
0.650000	16.356518	0.000000
0.660000	16.358742	0.000000
0.670000	16.361050	0.000000
0.680000	16.363219	-0.501891
0.690000	16.365197	-0.501891
0.700000	16.367116	0.000000
0.710000	16.369052	0.000000
0.720000	16.371046	0.000000
0.730000	16.373001	0.000000
0.740000	16.374683	0.000000
0.750000	16.376345	0.000000
0.760000	16.378295	0.000000
0.770000	16.380333	0.000000
0.780000	16.382351	0.000000
0.790000	16.384350	0.000000
0.800000	16.386346	0.000000
0.810000	16.388354	0.000000
0.820000	16.390371	0.000000
0.830000	16.392402	0.000000
0.840000	16.394406	0.000000
0.850000	16.396395	0.000000
0.860000	16.398400	0.000000
0.870000	16.400418	0.000000
0.880000	16.402435	0.000000
0.890000	16.404412	0.000000
0.900000	16.406373	0.000000
0.910000	16.408371	0.000000
0.920000	16.410396	0.000000
0.930000	16.412398	0.000000
0.940000	16.414364	0.000000
0.950000	16.416363	0.000000
0.960000	16.418447	0.000000
0.970000	16.420750	0.000000
0.980000	16.423065	0.000000
0.990000	16.425177	0.000000
1.000000	16.427137	0.000000
1.010000	16.429081	0.000000
1.020000	16.431083	-0.501891
1.030000	16.433012	0.000000
1.040000	16.434662	0.000000
1.050000	16.436326	0.000000
1.060000	16.438284	0.000000
1.070000	16.440360	0.000000
1.080000	16.442412	0.000000
1.090000	16.444471	0.000000
1.100000	16.446642	0.000000
1.110000	16.448850	0.000000
1.120000	16.450997	0.000000
1.130000	16.453083	0.000000
1.140000	16.455034	0.000000
1.150000	16.456721	0.000000
1.160000	16.458394	0.000000
1.170000	16.460288	0.000000
1.180000	16.462315	0.000000
1.190000	16.464366	0.000000
1.200000	16.466402	0.000000
1.210000	16.468421	0.000000
1.220000	16.470429	0.000000
1.230000	16.472480	0.000000
1.240000	16.474755	0.000000
1.250000	16.477029	0.000000
1.260000	16.479039	0.000000
1.270000	16.480768	0.000000
1.280000	16.482474	0.000000
1.290000	16.484390	0.000000
1.300000	16.486402	0.000000
1.310000	16.488449	0.000000
1.320000	16.490486	-0.501891
1.330000	16.492486	-0.501891
1.340000	16.494496	0.000000
1.350000	16.496438	0.000000
1.360000	16.498395	0.000000
1.370000	16.500365	0.000000
1.380000	16.502343	0.000000
1.390000	16.504380	0.000000
1.400000	16.506391	0.000000
1.410000	16.508384	0.000000
1.420000	16.510420	0.000000
1.430000	16.512641	0.000000
1.440000	16.514960	0.000000
1.450000	16.517091	0.000000
1.460000	16.518894	0.000000
1.470000	16.520516	0.000000
1.480000	16.522299	0.000000
1.490000	16.524266	0.000000
1.500000	16.526284	0.000000
1.510000	16.528292	0.000000
1.520000	16.530330	0.000000
1.530000	16.532389	0.000000
1.540000	16.534458	0.000000
1.550000	16.536446	0.000000
1.560000	16.538399	0.000000
1.570000	16.540343	0.000000
1.580000	16.542291	0.000000
1.590000	16.544291	0.000000
1.600000	16.546302	0.000000
1.610000	16.548305	0.000000
1.620000	16.550247	0.000000
1.630000	16.552177	0.000000
1.640000	16.554139	0.000000
1.650000	16.556152	0.000000
1.660000	16.558199	0.000000
1.670000	16.560259	-0.501891
1.680000	16.562225	0.000000
1.690000	16.564158	0.000000
1.700000	16.566163	0.000000
1.710000	16.568242	0.000000
1.720000	16.570340	0.000000
1.730000	16.572388	0.000000
1.740000	16.574425	0.000000
1.750000	16.576437	0.000000
1.760000	16.578412	0.000000
1.770000	16.580425	0.000000
1.780000	16.582492	0.000000
1.790000	16.584585	0.000000
1.800000	16.586659	0.000000
1.810000	16.588619	0.000000
1.820000	16.590499	0.000000
1.830000	16.592644	0.000000
1.840000	16.595012	0.000000
1.850000	16.597197	0.000000
1.860000	16.599153	0.000000
1.870000	16.600929	0.000000
1.880000	16.602653	0.000000
1.890000	16.604515	0.000000
1.900000	16.606602	0.000000
1.910000	16.608774	0.000000
1.920000	16.610947	0.000000
1.930000	16.613080	0.000000
1.940000	16.615106	0.000000
1.950000	16.617074	0.000000
1.960000	16.619054	0.000000
1.970000	16.621088	0.000000
1.980000	16.623078	0.000000
1.990000	16.624934	0.000000
2.000000	16.626698	0.000000
2.010000	16.628533	0.000000
2.020000	16.630674	0.000000
2.030000	16.632971	0.000000
2.040000	16.635139	0.000000
2.050000	16.637119	0.000000
2.060000	16.638919	0.000000
2.070000	16.640806	0.000000
2.080000	16.642921	0.000000
2.090000	16.645080	0.000000
2.100000	16.647123	0.000000
2.110000	16.649069	0.000000
2.120000	16.651023	0.000000
2.130000	16.652891	0.000000
2.140000	16.654633	0.000000
2.150000	16.656573	0.000000
2.160000	16.658834	0.000000
