<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:44:08.929
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.355000	0.000000
0.010000	16.355000	0.000000
0.020000	16.355000	0.000000
0.030000	16.355000	0.000000
0.040000	16.355000	0.000000
0.050000	16.355000	0.000000
0.060000	16.355000	0.000000
0.070000	16.355000	0.000000
0.080000	16.355000	0.000000
0.090000	16.355000	0.501891
0.100000	16.355000	0.000000
0.110000	16.355000	0.000000
0.120000	16.355000	0.000000
0.130000	16.355000	0.000000
0.140000	16.355000	0.000000
0.150000	16.355000	0.000000
0.160000	16.355000	0.000000
0.170000	16.355000	0.000000
0.180000	16.355000	0.000000
0.190000	16.355000	0.000000
0.200000	16.355000	0.000000
0.210000	16.355000	0.000000
0.220000	16.355000	0.000000
0.230000	16.355000	0.000000
0.240000	16.355000	0.000000
0.250000	16.355000	0.000000
0.260000	16.355000	0.000000
0.270000	16.355000	0.000000
0.280000	16.355019	0.000000
0.290000	16.355201	0.000000
0.300000	16.355493	0.000000
0.310000	16.356433	0.000000
0.320000	16.358561	0.501891
0.330000	16.361205	0.000000
0.340000	16.363726	0.000000
0.350000	16.365962	0.000000
0.360000	16.368061	0.000000
0.370000	16.370182	0.000000
0.380000	16.372315	0.000000
0.390000	16.374383	0.000000
0.400000	16.376435	0.000000
0.410000	16.378507	0.000000
0.420000	16.380610	0.000000
0.430000	16.382683	0.000000
0.440000	16.384757	0.000000
0.450000	16.386784	0.000000
0.460000	16.388734	0.000000
0.470000	16.390721	0.000000
0.480000	16.392810	0.000000
0.490000	16.394881	0.000000
0.500000	16.396904	0.000000
0.510000	16.398919	0.000000
0.520000	16.400946	0.000000
0.530000	16.402939	0.000000
0.540000	16.404898	0.000000
0.550000	16.406866	0.000000
0.560000	16.408872	0.000000
0.570000	16.410874	0.000000
0.580000	16.412849	0.000000
0.590000	16.414816	0.000000
0.600000	16.416843	0.000000
0.610000	16.418942	0.000000
0.620000	16.421228	0.000000
0.630000	16.423572	0.000000
0.640000	16.425734	0.000000
0.650000	16.427695	0.000000
0.660000	16.429669	0.000000
0.670000	16.431686	0.000000
0.680000	16.433577	0.000000
0.690000	16.435223	0.000000
0.700000	16.436926	0.000000
0.710000	16.438839	0.000000
0.720000	16.440855	0.000000
0.730000	16.442889	0.000000
0.740000	16.444895	0.000000
0.750000	16.446882	0.000000
0.760000	16.448844	0.000000
0.770000	16.450833	0.000000
0.780000	16.452860	0.000000
