<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:35:01.129
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.530000	0.501891
0.010000	16.530000	0.501891
0.020000	16.530000	0.501891
0.030000	16.530000	0.501891
0.040000	16.530000	0.501891
0.050000	16.530000	0.501891
0.060000	16.530000	0.501891
0.070000	16.530000	0.501891
0.080000	16.530000	0.501891
0.090000	16.530000	0.501891
0.100000	16.530000	0.501891
0.110000	16.530000	0.501891
0.120000	16.530000	0.501891
0.130000	16.530000	0.000000
0.140000	16.530000	0.000000
0.150000	16.530000	0.000000
0.160000	16.530000	0.000000
0.170000	16.530000	0.000000
0.180000	16.530000	0.501891
0.190000	16.530000	0.501891
0.200000	16.530000	0.000000
0.210000	16.530000	0.000000
0.220000	16.530000	0.000000
0.230000	16.530000	0.000000
0.240000	16.530000	0.000000
0.250000	16.530000	0.501891
0.260000	16.530000	0.501891
0.270000	16.530002	0.501891
0.280000	16.530133	0.501891
0.290000	16.530403	0.501891
0.300000	16.531163	0.501891
0.310000	16.533099	0.501891
0.320000	16.535691	0.501891
0.330000	16.538221	0.501891
0.340000	16.540503	0.501891
0.350000	16.542640	0.501891
0.360000	16.544765	0.501891
0.370000	16.546861	0.501891
0.380000	16.548959	0.501891
0.390000	16.551014	0.501891
0.400000	16.553050	0.501891
0.410000	16.555076	0.501891
0.420000	16.557145	0.501891
0.430000	16.559254	0.501891
0.440000	16.561335	0.501891
0.450000	16.563361	0.501891
0.460000	16.565340	0.501891
0.470000	16.567355	0.501891
0.480000	16.569428	0.501891
0.490000	16.571490	0.501891
0.500000	16.573490	0.000000
0.510000	16.575493	0.000000
0.520000	16.577507	0.501891
0.530000	16.579504	0.501891
0.540000	16.581540	0.000000
0.550000	16.583581	0.000000
0.560000	16.585578	0.501891
0.570000	16.587571	0.501891
0.580000	16.589568	0.501891
0.590000	16.591628	0.501891
0.600000	16.593844	0.000000
0.610000	16.595918	0.000000
0.620000	16.597704	0.000000
0.630000	16.599535	0.000000
0.640000	16.601510	0.000000
0.650000	16.603560	0.501891
0.660000	16.605667	0.501891
0.670000	16.607726	0.501891
0.680000	16.609655	0.501891
0.690000	16.611572	0.501891
0.700000	16.613546	0.501891
0.710000	16.615548	0.501891
0.720000	16.617595	0.501891
0.730000	16.619742	0.000000
0.740000	16.622060	0.501891
0.750000	16.624297	0.501891
0.760000	16.626321	0.501891
0.770000	16.628286	0.501891
0.780000	16.630260	0.501891
0.790000	16.632167	0.501891
0.800000	16.633982	0.501891
0.810000	16.635790	0.501891
0.820000	16.637758	0.000000
0.830000	16.639967	0.000000
0.840000	16.642229	0.000000
0.850000	16.644309	0.000000
0.860000	16.646306	0.501891
0.870000	16.648274	0.501891
0.880000	16.650261	0.501891
0.890000	16.652198	0.501891
0.900000	16.653968	0.501891
0.910000	16.655734	0.501891
0.920000	16.657778	0.000000
0.930000	16.660011	0.000000
0.940000	16.662105	0.501891
0.950000	16.663947	0.501891
0.960000	16.665672	0.501891
0.970000	16.667521	0.000000
0.980000	16.669516	0.000000
0.990000	16.671681	0.000000
1.000000	16.673825	0.501891
1.010000	16.675728	0.501891
1.020000	16.677663	0.501891
1.030000	16.679801	0.501891
1.040000	16.682087	0.501891
1.050000	16.684292	0.501891
1.060000	16.686301	0.501891
1.070000	16.688235	0.501891
1.080000	16.690195	0.501891
1.090000	16.692189	0.501891
1.100000	16.694188	0.501891
1.110000	16.696028	0.501891
1.120000	16.697664	0.501891
1.130000	16.699441	0.501891
1.140000	16.701469	0.501891
1.150000	16.703580	0.501891
1.160000	16.705619	0.501891
1.170000	16.707570	0.501891
1.180000	16.709529	0.501891
1.190000	16.711515	0.501891
1.200000	16.713520	0.501891
1.210000	16.715529	0.501891
1.220000	16.717528	0.501891
1.230000	16.719560	0.501891
1.240000	16.721611	0.501891
1.250000	16.723637	0.501891
1.260000	16.725592	0.501891
1.270000	16.727560	0.501891
1.280000	16.729584	0.501891
1.290000	16.731652	0.501891
1.300000	16.733758	0.501891
1.310000	16.735855	0.501891
1.320000	16.737877	0.501891
1.330000	16.739745	0.501891
1.340000	16.741596	0.501891
1.350000	16.743543	0.501891
1.360000	16.745544	0.501891
1.370000	16.747558	0.501891
1.380000	16.749565	0.501891
1.390000	16.751597	0.000000
1.400000	16.753602	0.501891
1.410000	16.755579	0.501891
1.420000	16.757564	0.501891
1.430000	16.759544	0.501891
1.440000	16.761508	0.501891
1.450000	16.763489	0.501891
1.460000	16.765511	0.501891
1.470000	16.767583	0.501891
1.480000	16.769597	0.501891
1.490000	16.771566	0.501891
1.500000	16.773544	0.000000
1.510000	16.775538	0.000000
1.520000	16.777546	0.501891
1.530000	16.779567	0.501891
1.540000	16.781521	0.000000
1.550000	16.783509	0.000000
1.560000	16.785512	0.501891
1.570000	16.787515	0.501891
1.580000	16.789515	0.501891
1.590000	16.791464	0.501891
1.600000	16.793435	0.501891
1.610000	16.795464	0.501891
1.620000	16.797507	0.501891
1.630000	16.799521	0.501891
1.640000	16.801488	0.501891
1.650000	16.803502	0.000000
1.660000	16.805594	0.000000
1.670000	16.807901	0.501891
1.680000	16.810192	0.501891
1.690000	16.812310	0.501891
1.700000	16.814286	0.501891
1.710000	16.816255	0.501891
1.720000	16.818190	0.501891
1.730000	16.819940	0.501891
1.740000	16.821635	0.501891
1.750000	16.823492	0.501891
1.760000	16.825455	0.501891
1.770000	16.827461	0.501891
1.780000	16.829482	0.501891
1.790000	16.831495	0.501891
1.800000	16.833523	0.501891
1.810000	16.835548	0.501891
