<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	17:01:03.129
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.256000	0.000000
0.010000	16.256000	0.000000
0.020000	16.256000	0.000000
0.030000	16.256000	0.000000
0.040000	16.256000	0.000000
0.050000	16.256000	0.000000
0.060000	16.256000	0.000000
0.070000	16.256000	0.000000
0.080000	16.256000	0.000000
0.090000	16.256000	0.000000
0.100000	16.256000	0.000000
0.110000	16.256000	0.000000
0.120000	16.256000	0.000000
0.130000	16.256000	0.000000
0.140000	16.256000	0.000000
0.150000	16.256000	0.000000
0.160000	16.256000	0.000000
0.170000	16.256000	0.000000
0.180000	16.256000	0.000000
0.190000	16.256000	0.000000
0.200000	16.256000	0.000000
0.210000	16.256002	0.000000
0.220000	16.256121	0.000000
0.230000	16.256373	0.000000
0.240000	16.256960	0.000000
0.250000	16.258654	0.000000
0.260000	16.261204	0.000000
0.270000	16.263877	0.000000
0.280000	16.266319	0.000000
0.290000	16.268578	0.000000
0.300000	16.270767	0.000000
0.310000	16.272932	0.000000
0.320000	16.275033	0.000000
0.330000	16.277124	0.000000
0.340000	16.279227	0.000000
0.350000	16.281349	0.000000
0.360000	16.283458	0.000000
0.370000	16.285467	0.000000
0.380000	16.287467	0.000000
0.390000	16.289523	0.501891
0.400000	16.291610	0.501891
0.410000	16.293656	0.000000
0.420000	16.295675	0.000000
0.430000	16.297662	0.000000
0.440000	16.299649	0.000000
0.450000	16.301648	0.000000
0.460000	16.303647	0.000000
0.470000	16.305650	0.000000
0.480000	16.307722	0.000000
0.490000	16.309966	0.000000
0.500000	16.312292	0.000000
0.510000	16.314461	0.000000
0.520000	16.316487	0.000000
0.530000	16.318416	0.000000
0.540000	16.320374	0.000000
0.550000	16.322417	0.000000
0.560000	16.324449	0.000000
0.570000	16.326430	0.000000
0.580000	16.328259	0.000000
0.590000	16.329869	0.000000
0.600000	16.331609	0.000000
0.610000	16.333576	0.000000
0.620000	16.335649	0.000000
0.630000	16.337698	0.000000
0.640000	16.339702	0.000000
0.650000	16.341693	0.000000
0.660000	16.343697	0.000000
0.670000	16.345783	0.000000
0.680000	16.347883	0.000000
0.690000	16.349809	0.000000
0.700000	16.351725	0.000000
0.710000	16.353699	0.000000
0.720000	16.355746	0.000000
0.730000	16.357928	0.000000
0.740000	16.360160	0.000000
0.750000	16.362356	0.000000
0.760000	16.364443	0.000000
0.770000	16.366434	0.000000
0.780000	16.368375	0.000000
0.790000	16.370222	0.000000
0.800000	16.371891	0.000000
0.810000	16.373591	0.000000
0.820000	16.375529	0.000000
0.830000	16.377616	0.000000
0.840000	16.379674	0.000000
0.850000	16.381690	0.000000
0.860000	16.383739	0.000000
0.870000	16.385782	0.000000
0.880000	16.387746	0.000000
0.890000	16.389674	0.000000
0.900000	16.391627	0.000000
0.910000	16.393603	0.000000
0.920000	16.395630	0.501891
0.930000	16.397668	0.501891
0.940000	16.399692	0.000000
0.950000	16.401654	0.000000
0.960000	16.403607	0.000000
0.970000	16.405580	0.000000
0.980000	16.407620	0.000000
0.990000	16.409686	0.000000
1.000000	16.411718	0.000000
1.010000	16.413664	0.000000
1.020000	16.415630	0.000000
1.030000	16.417688	0.000000
1.040000	16.419939	0.000000
1.050000	16.422287	0.000000
1.060000	16.424468	0.000000
1.070000	16.426464	0.000000
1.080000	16.428408	0.000000
1.090000	16.430396	0.000000
1.100000	16.432353	0.000000
1.110000	16.434068	0.000000
1.120000	16.435678	0.000000
1.130000	16.437557	0.000000
1.140000	16.439641	0.000000
1.150000	16.441714	0.000000
1.160000	16.443756	0.000000
1.170000	16.445729	0.000000
1.180000	16.447688	0.000000
1.190000	16.449698	0.000000
1.200000	16.451701	0.000000
1.210000	16.453695	0.000000
1.220000	16.455703	0.000000
1.230000	16.457822	0.000000
1.240000	16.459980	0.000000
1.250000	16.462076	0.000000
1.260000	16.464091	0.000000
1.270000	16.465914	0.000000
1.280000	16.467765	0.000000
1.290000	16.469899	0.000000
1.300000	16.472183	0.000000
1.310000	16.474396	0.000000
1.320000	16.476444	0.000000
1.330000	16.478370	0.000000
1.340000	16.480186	0.000000
1.350000	16.481886	0.000000
1.360000	16.483739	0.000000
1.370000	16.485782	0.000000
1.380000	16.487771	0.000000
1.390000	16.489719	0.000000
1.400000	16.491679	0.000000
1.410000	16.493695	0.000000
1.420000	16.495702	0.000000
1.430000	16.497676	0.000000
1.440000	16.499664	0.000000
1.450000	16.501667	0.000000
1.460000	16.503695	0.000000
1.470000	16.505705	0.000000
1.480000	16.507675	0.000000
1.490000	16.509696	0.000000
1.500000	16.511898	0.000000
1.510000	16.514232	0.000000
1.520000	16.516398	0.000000
1.530000	16.518229	0.000000
1.540000	16.519802	0.000000
1.550000	16.521529	0.000000
1.560000	16.523515	0.000000
1.570000	16.525576	0.000000
1.580000	16.527616	0.000000
1.590000	16.529635	0.000000
1.600000	16.531655	0.000000
1.610000	16.533671	0.000000
1.620000	16.535717	0.000000
1.630000	16.537792	0.000000
1.640000	16.539755	0.000000
1.650000	16.541656	0.000000
1.660000	16.543620	0.000000
1.670000	16.545617	0.000000
1.680000	16.547601	0.000000
1.690000	16.549574	0.000000
1.700000	16.551529	0.000000
1.710000	16.553487	0.000000
1.720000	16.555478	0.000000
1.730000	16.557470	0.000000
1.740000	16.559508	0.000000
1.750000	16.561549	0.000000
1.760000	16.563511	0.000000
1.770000	16.565481	0.000000
1.780000	16.567528	0.000000
1.790000	16.569594	0.000000
1.800000	16.571650	0.000000
1.810000	16.573706	0.000000
1.820000	16.575727	0.000000
1.830000	16.577701	0.000000
1.840000	16.579685	0.000000
1.850000	16.581749	0.501891
1.860000	16.583915	0.000000
1.870000	16.586255	0.000000
1.880000	16.588535	0.000000
1.890000	16.590595	0.000000
1.900000	16.592489	0.000000
1.910000	16.594387	0.000000
1.920000	16.596321	0.000000
1.930000	16.598117	0.000000
1.940000	16.599810	0.000000
1.950000	16.601718	0.000000
1.960000	16.603724	0.000000
1.970000	16.605708	0.501891
1.980000	16.607688	0.000000
1.990000	16.609720	0.000000
