L_span_mm,delta_mm,F_sim_N
60.0,5.0,0.18503
60.0,4.5,0.16613
60.0,4.0,0.1474
60.0,3.5,0.12881
60.0,3.0,0.11033
60.0,2.5,0.091929
60.0,2.0,0.073574
60.0,1.5,0.055235
60.0,1.0,0.036882
60.0,0.5,0.018481
60.0,0.1,0.0037041
60.0,0.05,0.0018526
40.0,5.0,0.94507
40.0,4.5,0.85201
40.0,4.0,0.75932
40.0,3.5,0.66674
40.0,3.0,0.57403
40.0,2.5,0.48092
40.0,2.0,0.38715
40.0,1.5,0.29246
40.0,1.0,0.19657
40.0,0.5,0.099181
40.0,0.1,0.019995
40.0,0.05,0.010008
65.0,5.0,0.2297
65.0,4.5,0.2067
65.0,4.0,0.18379
65.0,3.5,0.16094
65.0,3.0,0.13811
65.0,2.5,0.11528
65.0,2.0,0.092412
65.0,1.5,0.069482
65.0,1.0,0.046458
65.0,0.5,0.023308
65.0,0.1,0.0046757
65.0,0.05,0.0023388
