L_span_mm,delta_mm,E_MPa,h_mm,model,F_sim_N
60.0,5.0,,0.25,nonlinear,0.18503
60.0,4.5,,0.25,nonlinear,0.16613
60.0,4.0,,0.25,nonlinear,0.1474
60.0,3.5,,0.25,nonlinear,0.12881
60.0,3.0,,0.25,nonlinear,0.11033
60.0,2.5,,0.25,nonlinear,0.091929
60.0,2.0,,0.25,nonlinear,0.073574
60.0,1.5,,0.25,nonlinear,0.055235
60.0,1.0,,0.25,nonlinear,0.036882
60.0,0.5,,0.25,nonlinear,0.018481
60.0,0.1,,0.25,nonlinear,0.0037041
60.0,0.05,,0.25,nonlinear,0.0018526
40.0,5.0,,0.125,nonlinear,0.94507
40.0,4.5,,0.125,nonlinear,0.85201
40.0,4.0,,0.125,nonlinear,0.75932
40.0,3.5,,0.125,nonlinear,0.66674
40.0,3.0,,0.125,nonlinear,0.57403
40.0,2.5,,0.125,nonlinear,0.48092
40.0,2.0,,0.125,nonlinear,0.38715
40.0,1.5,,0.125,nonlinear,0.29246
40.0,1.0,,0.125,nonlinear,0.19657
40.0,0.5,,0.125,nonlinear,0.099181
40.0,0.1,,0.125,nonlinear,0.019995
40.0,0.05,,0.125,nonlinear,0.010008
65.0,5.0,,0.125,nonlinear,0.2297
65.0,4.5,,0.125,nonlinear,0.2067
65.0,4.0,,0.125,nonlinear,0.18379
65.0,3.5,,0.125,nonlinear,0.16094
65.0,3.0,,0.125,nonlinear,0.13811
65.0,2.5,,0.125,nonlinear,0.11528
65.0,2.0,,0.125,nonlinear,0.092412
65.0,1.5,,0.125,nonlinear,0.069482
65.0,1.0,,0.125,nonlinear,0.046458
65.0,0.5,,0.125,nonlinear,0.023308
65.0,0.1,,0.125,nonlinear,0.0046757
65.0,0.05,,0.125,nonlinear,0.0023388
60.0,2.0,,3.00,nonlinear,0.12178
60.0,2.0,,2.00,nonlinear,0.11736
60.0,2.0,,1.75,nonlinear,0.096397
60.0,2.0,,1.50,nonlinear,0.095903
60.0,2.0,,1.25,nonlinear,0.087951
60.0,2.0,,1.00,nonlinear,0.08245
60.0,2.0,,0.75,nonlinear,0.079757
60.0,2.0,,0.50,nonlinear,0.077261
60.0,2.0,,0.35,nonlinear,0.075513
60.0,2.0,,0.10,nonlinear,0.073346
40.0,2.0,,4.00000,nonlinear,0.81888
40.0,2.0,,2.00000,nonlinear,0.57563
40.0,2.0,,1.00000,nonlinear,0.41983
