L_span_mm,delta_mm,specimen_id,d_mean_mm,sigma_d_mm,F_nom_N,u_input_N,u_input_pct
60.0,3.0,1,5.0,0.019999999999999574,0.1136987,0.0593345,52.1857
60.0,3.0,2,5.01,0.020000000000000018,0.114611,0.0595973,51.9997
60.0,3.0,3,4.973,0.032145502536643,0.1112626,0.0579739,52.1054
60.0,3.0,4,4.977,0.011547005383792781,0.111621,0.0578015,51.7838
60.0,3.0,5,4.907,0.06658328118479404,0.1054726,0.0559417,53.0391
60.0,3.0,6,4.963,0.030550504633039155,0.1103703,0.057546,52.139
60.0,4.0,1,5.0,0.019999999999999574,0.1515982,0.0783568,51.6872
60.0,4.0,2,5.01,0.020000000000000018,0.1528146,0.0788537,51.6009
60.0,4.0,3,4.973,0.032145502536643,0.1483501,0.0774591,52.2137
60.0,4.0,4,4.977,0.011547005383792781,0.148828,0.0775932,52.1362
60.0,4.0,5,4.907,0.06658328118479404,0.1406301,0.074507,52.9809
60.0,4.0,6,4.963,0.030550504633039155,0.1471605,0.0769448,52.2863
60.0,5.0,1,5.0,0.019999999999999574,0.1894978,0.0980167,51.7245
60.0,5.0,2,5.01,0.020000000000000018,0.1910183,0.1004942,52.6097
60.0,5.0,3,4.973,0.032145502536643,0.1854376,0.0962851,51.9232
60.0,5.0,4,4.977,0.011547005383792781,0.186035,0.0966029,51.9273
60.0,5.0,5,4.907,0.06658328118479404,0.1757876,0.0927655,52.7713
60.0,5.0,6,4.963,0.030550504633039155,0.1839506,0.0953495,51.8343
40.0,3.0,1,5.0,0.019999999999999574,0.383733,0.2002247,52.1781
40.0,3.0,2,5.01,0.020000000000000018,0.386812,0.2008788,51.9319
40.0,3.0,3,4.973,0.032145502536643,0.3755112,0.19656,52.3446
40.0,3.0,4,4.977,0.011547005383792781,0.3767208,0.1961517,52.0682
40.0,3.0,5,4.907,0.06658328118479404,0.3559699,0.1890902,53.1197
40.0,3.0,6,4.963,0.030550504633039155,0.3724999,0.1946882,52.2653
40.0,4.0,1,5.0,0.019999999999999574,0.511644,0.2679205,52.3646
40.0,4.0,2,5.01,0.020000000000000018,0.5157494,0.2700658,52.3638
40.0,4.0,3,4.973,0.032145502536643,0.5006816,0.2604221,52.0135
40.0,4.0,4,4.977,0.011547005383792781,0.5022945,0.2625754,52.2752
40.0,4.0,5,4.907,0.06658328118479404,0.4746266,0.2511111,52.9071
40.0,4.0,6,4.963,0.030550504633039155,0.4966666,0.2590409,52.1559
40.0,5.0,1,5.0,0.019999999999999574,0.6395549,0.332205,51.9432
40.0,5.0,2,5.01,0.020000000000000018,0.6446867,0.3350032,51.9637
40.0,5.0,3,4.973,0.032145502536643,0.625852,0.3272389,52.2869
40.0,5.0,4,4.977,0.011547005383792781,0.6278681,0.3258914,51.9044
40.0,5.0,5,4.907,0.06658328118479404,0.5932832,0.3163952,53.3295
40.0,5.0,6,4.963,0.030550504633039155,0.6208332,0.3256257,52.4498
